study	time	val_categorical_accuracy
this study	12098.173053741455	0.6261905
Chen	5874.3557114601135	0.668125
Hiester	923.423965215683	0.9125
Wang-sparse	4801.094401836395	0.59074074
Wang-file	4747.491280078888	0.64875
Vulinovic	6276.041889667511	0.60583335
