category	val_acc	Time	Epochs
dwf	0.8439286	17m51s	36
pdf	0.9260714	23m10s	55
pps	0.9317857	20m40s	49
gz	0.8782143	13m48s	29
jpg	0.9628571	19m47s	50
pptx	0.95785713	25m46s	60
doc	0.96	8m45s	20
ppt	0.9432143	23m15s	55
kmz	0.8371429	18m09s	41
swf	0.9075	18m00s	37
png	0.85	23m30s	56
gif	0.93642855	9m28s	19
