study	time	val_categorical_accuracy
this study	4701.547247648239	0.61160713
Chen	2011.257327079773	0.628125
Hiester	494.6045982837677	0.88625
Wang-sparse	2922.1834766864777	0.58111113
Wang-file	2142.339622735977	0.61025
Vulinovic	3179.7913019657135	0.57222223
