cat1	cat2	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
hlp	html	194.67188668251038	53	0.91	0.91
hlp	java	119.86073684692383	16	0.8875	0.8875
hlp	jpg	129.7657494544983	23	0.985	0.985
hlp	kml	129.27011561393738	23	0.9775	0.9775
hlp	kmz	120.88045072555542	16	0.9975	0.9975
hlp	log	119.33762335777283	15	0.935	0.935
hlp	pdf	121.76591348648071	16	0.9725	0.9725
hlp	png	121.02907991409302	15	0.995	0.995
hlp	pps	141.19238901138306	19	0.98	0.98
hlp	ppt	163.86944270133972	26	0.98	0.98
hlp	pptx	140.4132695198059	13	0.9925	0.9925
hlp	ps	138.40393137931824	20	0.98	0.98
hlp	rtf	162.19885087013245	43	0.9925	0.9925
hlp	sql	144.88383173942566	30	0.9025	0.9025
hlp	swf	135.91224694252014	22	0.9925	0.9925
hlp	txt	156.71025371551514	38	0.855	0.855
hlp	wp	139.11500811576843	25	0.955	0.955
hlp	xls	144.5941517353058	28	0.9675	0.9675
hlp	xml	153.98874354362488	34	0.9675	0.9675
html	java	156.98963499069214	34	0.93	0.93
html	jpg	143.73957657814026	26	0.9925	0.9925
html	kml	142.4246690273285	25	0.9175	0.9175
html	kmz	128.1750898361206	14	1.0	1.0
html	log	140.52372813224792	22	0.9325	0.9325
html	pdf	172.97574257850647	45	0.985	0.985
html	png	130.6164653301239	14	0.995	0.995
html	pps	164.18544816970825	29	0.9875	0.9875
html	ppt	163.60618591308594	24	0.9825	0.9825
html	pptx	188.12550520896912	21	0.9925	0.9925
html	ps	173.88070964813232	24	0.96	0.96
html	rtf	151.6842918395996	25	0.9625	0.9625
html	sql	153.71421575546265	26	0.9675	0.9675
html	swf	149.25587701797485	22	0.9925	0.9925
html	txt	172.04480290412903	39	0.925	0.925
html	wp	163.85130834579468	33	0.9675	0.9675
html	xls	160.68519163131714	29	0.95	0.95
html	xml	157.21388149261475	27	0.8	0.8
java	jpg	154.11655473709106	25	0.995	0.995
java	kml	163.11337757110596	31	0.9875	0.9875
java	kmz	142.00129747390747	15	1.0	1.0
java	log	165.99436497688293	32	0.97	0.97
java	pdf	147.8715043067932	15	0.965	0.965
java	png	171.21845364570618	19	1.0	1.0
java	pps	187.93175220489502	24	0.99	0.99
java	ppt	156.2503626346588	18	0.9725	0.9725
java	pptx	201.8560745716095	25	0.995	0.995
java	ps	187.09311652183533	33	0.98	0.98
java	rtf	195.63816261291504	32	0.98	0.98
java	sql	173.84330916404724	34	0.9475	0.9475
java	swf	167.51178765296936	24	1.0	1.0
java	txt	162.48389744758606	25	0.94	0.94
java	wp	178.82297372817993	37	0.9875	0.9875
java	xls	153.82061409950256	18	0.95	0.95
java	xml	181.09907174110413	37	0.945	0.945
jpg	kml	149.81922388076782	15	0.9925	0.9925
