category	val_acc	struct_acc	rnd_acc	Time	Epochs
gif	0.9632143	0.953	0.991	18m58s	26
pptx	0.94607145	0.926	0.965	46m21s	63
pdf	0.9707143	0.993	0.942	36m02s	49
jpg	0.97892857	0.98	0.977	40m34s	60
png	0.96428573	0.927	0.989	46m09s	61
dwf	0.9028571	0.868	0.943	24m49s	30
swf	0.95928574	0.964	0.95	20m32s	24
gz	0.92785716	0.868	0.975	44m16s	54
pps	0.9825	0.978	0.972	42m54s	56
kmz	0.9703571	0.954	0.995	28m58s	38
ppt	0.9792857	0.983	0.983	49m28s	74
doc	0.9935714	0.995	0.988	11m04s	16
