n	cats	val_categorical_accuracy
2	jpg,wp	0.98892856
2	dwf,sql	0.98892856
2	rtf,xls	0.9892857
2	eps,gz	0.9892857
2	f,kml	0.9892857
2	hlp,ppt	0.98964286
2	gz,rtf	0.98964286
2	log,pps	0.99
2	java,pdf	0.99
2	doc,log	0.99035716
2	hlp,jpg	0.99035716
2	log,pptx	0.99035716
2	csv,ps	0.99035716
2	f,jpg	0.9907143
2	eps,hlp	0.9907143
2	kml,ps	0.9907143
2	f,pptx	0.9907143
2	f,ppt	0.99142855
2	csv,xls	0.99142855
2	ppt,xml	0.99142855
2	eps,pptx	0.99142855
2	dbase3,hlp	0.99142855
2	csv,doc	0.9917857
2	hlp,rtf	0.9917857
2	pptx,xml	0.9917857
2	java,ppt	0.9917857
2	gif,log	0.9917857
2	dbase3,ppt	0.99214286
2	eps,png	0.99214286
2	swf,txt	0.99285716
2	dwf,log	0.99285716
2	hlp,png	0.99285716
2	f,png	0.99285716
2	hlp,ps	0.99285716
2	hlp,pps	0.99285716
2	html,pps	0.9932143
2	ps,xls	0.9932143
2	kmz,wp	0.9935714
2	gz,wp	0.9935714
2	eps,jpg	0.9935714
2	kmz,log	0.9935714
2	pps,rtf	0.99392855
2	gif,sql	0.99392855
2	gif,ps	0.9942857
2	dbase3,kml	0.9942857
2	jpg,log	0.9942857
2	html,ppt	0.9942857
2	dwf,f	0.9942857
2	f,kmz	0.99464285
2	eps,java	0.99464285
2	gz,xls	0.99464285
2	html,png	0.995
2	png,sql	0.995
2	eps,swf	0.995
2	dbase3,ps	0.995
2	kml,png	0.995
2	eps,kmz	0.995
2	log,ppt	0.99535716
2	eps,gif	0.99535716
2	dbase3,dwf	0.99535716
2	csv,png	0.99535716
2	f,pps	0.99535716
2	jpg,rtf	0.99535716
2	dbase3,f	0.9957143
2	pps,xml	0.9957143
2	java,xls	0.99607146
2	pps,txt	0.99607146
2	pptx,rtf	0.99607146
2	png,rtf	0.99607146
2	csv,ppt	0.99607146
2	dwf,rtf	0.99607146
2	kml,pptx	0.99607146
2	eps,kml	0.99642855
2	jpg,xml	0.99642855
2	rtf,swf	0.99642855
2	csv,pps	0.9967857
2	swf,xml	0.9967857
2	csv,dbase3	0.9967857
2	kml,swf	0.9967857
2	dwf,eps	0.9967857
2	gif,xml	0.9967857
2	kmz,sql	0.9967857
2	hlp,kmz	0.9967857
2	hlp,pdf	0.9967857
