cat1	cat2	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
java	png	643.7166049480438	12	0.99714285	0.99714285
java	pps	1419.2599132061005	27	0.99535716	0.99535716
java	ppt	913.6596112251282	17	0.99214286	0.99214286
java	pptx	619.5984034538269	11	0.9975	0.9975
java	ps	2428.4701998233795	46	0.9935714	0.9935714
java	rtf	2127.7674345970154	41	0.99464285	0.99464285
java	sql	2252.1041026115417	43	0.9442857	0.9442857
java	swf	897.0537173748016	17	0.99964285	0.99964285
java	txt	1591.1674356460571	31	0.9717857	0.9717857
java	wp	1230.2265839576721	26	0.98571426	0.98571426
java	xls	2132.6622173786163	47	0.98785716	0.98785716
java	xml	2112.269058942795	46	0.9667857	0.9667857
jpg	kml	694.3790986537933	15	0.9957143	0.9957143
jpg	kmz	3435.8480308055878	81	0.81607145	0.81607145
jpg	log	661.0073349475861	14	0.99214286	0.99214286
jpg	pdf	4038.3055777549744	88	0.8814286	0.8814286
jpg	png	2052.830077648163	44	0.89107144	0.89107144
jpg	pps	3642.878390312195	79	0.7860714	0.7860714
jpg	ppt	3192.201395511627	68	0.8060714	0.8060714
jpg	pptx	2054.824928998947	43	0.7835714	0.7835714
jpg	ps	1668.3674700260162	35	0.9935714	0.9935714
jpg	rtf	1214.9274547100067	26	0.9967857	0.9967857
jpg	sql	533.6852672100067	11	0.9842857	0.9842857
jpg	swf	4279.534335136414	93	0.83	0.83
jpg	txt	665.4851989746094	14	0.9907143	0.9907143
jpg	wp	1407.3480875492096	30	0.98642856	0.98642856
jpg	xls	1493.7515890598297	32	0.9835714	0.9835714
jpg	xml	778.1152222156525	16	0.9925	0.9925
kml	kmz	854.0456628799438	18	0.99714285	0.99714285
kml	log	1650.9996464252472	36	0.9810714	0.9810714
kml	pdf	1383.026528120041	30	0.9935714	0.9935714
kml	png	745.8071928024292	15	0.99535716	0.99535716
kml	pps	1418.6058886051178	30	0.995	0.995
kml	ppt	1140.1632039546967	25	0.99785715	0.99785715
kml	pptx	600.8547248840332	13	0.9957143	0.9957143
kml	ps	2029.1755900382996	47	0.995	0.995
kml	rtf	1412.8683352470398	31	0.99714285	0.99714285
kml	sql	1024.8281767368317	23	0.98071426	0.98071426
kml	swf	587.293365240097	13	0.9982143	0.9982143
kml	txt	809.8610513210297	17	0.9735714	0.9735714
kml	wp	956.7287409305573	20	0.99892855	0.99892855
kml	xls	2026.6314015388489	44	0.9892857	0.9892857
kml	xml	1620.446433544159	37	0.9632143	0.9632143
kmz	log	491.9367332458496	11	1.0	1.0
kmz	pdf	694.2016837596893	15	0.7107143	0.7107143
kmz	png	716.515323638916	16	0.7221429	0.7221429
kmz	pps	1787.0566692352295	36	0.73142856	0.73142856
kmz	ppt	978.3245470523834	22	0.74035716	0.74035716
kmz	pptx	1241.538887500763	27	0.7096428	0.7096428
kmz	ps	1601.499266386032	35	0.98464286	0.98464286
kmz	rtf	584.1378185749054	13	0.99857146	0.99857146
kmz	sql	597.596113204956	13	1.0	1.0
kmz	swf	1539.5307474136353	35	0.7285714	0.7285714
kmz	txt	546.9449055194855	12	0.995	0.995
kmz	wp	791.9870874881744	18	0.98464286	0.98464286
kmz	xls	1895.0190689563751	44	0.985	0.985
kmz	xml	587.1270530223846	13	0.9982143	0.9982143
log	pdf	1305.9647979736328	30	0.98321426	0.98321426
log	png	538.4073889255524	12	0.9967857	0.9967857
log	pps	666.3175783157349	15	0.9885714	0.9885714
log	ppt	1138.0254578590393	26	0.9957143	0.9957143
log	pptx	832.2575778961182	19	0.99857146	0.99857146
log	ps	1729.992030620575	40	0.95785713	0.95785713
log	rtf	1583.5130591392517	37	0.98642856	0.98642856
log	sql	2374.8340668678284	56	0.9685714	0.9685714
log	swf	676.7380275726318	15	0.9975	0.9975
log	txt	1577.0057294368744	36	0.9242857	0.9242857
log	wp	1450.961906194687	33	0.97571427	0.97571427
log	xls	2419.2016553878784	55	0.9810714	0.9810714
log	xml	905.4078497886658	20	0.9507143	0.9507143
pdf	png	1594.2011063098907	36	0.71	0.71
pdf	pps	2094.8103919029236	48	0.73964286	0.73964286
pdf	ppt	1596.568610906601	36	0.7225	0.7225
pdf	pptx	1017.9547231197357	22	0.7189286	0.7189286
pdf	ps	1869.6736760139465	42	0.9614286	0.9614286
pdf	rtf	1355.0438778400421	31	0.98571426	0.98571426
pdf	sql	1482.1278150081635	34	0.9825	0.9825
pdf	swf	1611.6931545734406	37	0.7278572	0.7278572
pdf	txt	1952.1567964553833	45	0.9753571	0.9753571
pdf	wp	793.8142130374908	18	0.9842857	0.9842857
pdf	xls	1777.5210101604462	42	0.98071426	0.98071426
pdf	xml	961.8967735767365	22	0.9714286	0.9714286
png	pps	1839.366389989853	43	0.64178574	0.64178574
png	ppt	1385.9448418617249	32	0.7121429	0.7121429
png	pptx	720.1491777896881	16	0.6342857	0.6342857
png	ps	1053.5399181842804	24	0.98892856	0.98892856
png	rtf	596.9564907550812	13	0.99607146	0.99607146
png	sql	667.915070772171	15	0.99714285	0.99714285
png	swf	917.677583694458	21	0.60785717	0.60785717
png	txt	551.4777727127075	12	0.99964285	0.99964285
png	wp	2335.422255754471	55	0.99035716	0.99035716
png	xls	1277.6851711273193	29	0.9696429	0.9696429
png	xml	532.6606292724609	12	0.9982143	0.9982143
pps	ppt	846.5701968669891	19	0.55142856	0.55142856
pps	pptx	978.0301387310028	22	0.615	0.615
pps	ps	930.8602442741394	21	0.98464286	0.98464286
pps	rtf	760.4030697345734	17	0.99464285	0.99464285
pps	sql	1444.9044606685638	33	0.995	0.995
pps	swf	1280.3513696193695	29	0.6342857	0.6342857
pps	txt	654.6281304359436	14	0.9925	0.9925
pps	wp	2998.3805751800537	72	0.9753571	0.9753571
pps	xls	1946.245787858963	48	0.9539286	0.9539286
pps	xml	1239.1314160823822	30	0.99285716	0.99285716
ppt	pptx	562.5514709949493	13	0.6717857	0.6717857
ppt	ps	798.0168235301971	19	0.98142856	0.98142856
ppt	rtf	920.9473400115967	22	0.985	0.985
ppt	sql	723.4875175952911	17	0.9842857	0.9842857
ppt	swf	1942.5241115093231	48	0.67	0.67
ppt	txt	874.2309963703156	21	0.9957143	0.9957143
ppt	wp	2970.049106836319	74	0.9582143	0.9582143
ppt	xls	1516.3322415351868	37	0.94035715	0.94035715
ppt	xml	880.6723186969757	21	0.9957143	0.9957143
pptx	ps	1556.4005711078644	38	0.99642855	0.99642855
pptx	rtf	570.2006323337555	13	0.9942857	0.9942857
pptx	sql	563.7685136795044	13	0.99035716	0.99035716
pptx	swf	1030.5964827537537	25	0.6067857	0.6067857
pptx	txt	559.8814468383789	13	0.99642855	0.99642855
pptx	wp	1800.9543161392212	44	0.985	0.985
pptx	xls	1396.4446864128113	34	0.9728571	0.9728571
pptx	xml	642.1121253967285	15	0.99714285	0.99714285
ps	rtf	1883.3217988014221	46	0.95464283	0.95464283
ps	sql	1838.978721857071	45	0.98892856	0.98892856
ps	swf	967.4958429336548	23	0.9835714	0.9835714
ps	txt	1875.6769833564758	46	0.94464284	0.94464284
ps	wp	2241.660252094269	56	0.9867857	0.9867857
ps	xls	1837.3399715423584	45	0.9885714	0.9885714
ps	xml	1447.373218536377	35	0.9842857	0.9842857
rtf	sql	1589.9426107406616	39	0.9882143	0.9882143
rtf	swf	666.5113670825958	16	0.99214286	0.99214286
rtf	txt	1392.6301817893982	34	0.9760714	0.9760714
rtf	wp	2178.4169042110443	53	0.98464286	0.98464286
rtf	xls	1933.000816822052	46	0.9942857	0.9942857
rtf	xml	1431.933432340622	34	0.98142856	0.98142856
sql	swf	661.6792342662811	15	0.9982143	0.9982143
sql	txt	905.0635561943054	21	0.87535715	0.87535715
sql	wp	915.8476932048798	23	0.9721429	0.9721429
sql	xls	2390.8658843040466	59	0.97821426	0.97821426
sql	xml	1138.4047539234161	27	0.9660714	0.9660714
swf	txt	500.578590631485	11	0.99642855	0.99642855
swf	wp	1224.3610937595367	28	0.9771429	0.9771429
swf	xls	1173.7265906333923	27	0.9742857	0.9742857
swf	xml	595.8528003692627	15	0.9982143	0.9982143
txt	wp	1865.4774827957153	51	0.95857143	0.95857143
txt	xls	2167.7096881866455	58	0.98071426	0.98071426
txt	xml	1446.6905419826508	38	0.96	0.96
wp	xls	2398.6260662078857	64	0.9589286	0.9589286
wp	xml	974.4165771007538	25	0.97964287	0.97964287
xls	xml	1759.5717144012451	46	0.9882143	0.9882143
