category	val_acc	struct_acc	rnd_acc	Time	Epochs
pptx	0.9603571	0.946	1.0	62m07s	39
ppt	0.9714286	0.945	1.0	41m15s	30
jpg	0.99785715	0.996	0.996	46m39s	39
pps	0.98571426	0.97	1.0	112m53s	90
swf	0.9775	0.962	1.0	20m57s	15
png	0.9917857	0.98	1.0	51m08s	31
doc	0.99642855	0.993	1.0	11m45s	11
dwf	1.0	0.999	1.0	22m03s	11
gif	0.985	0.973	1.0	47m51s	35
pdf	0.995	0.989	1.0	53m49s	44
kmz	0.99964285	0.997	1.0	30m29s	25
gz	0.9992857	0.998	1.0	52m35s	23
