n	cats	val_categorical_accuracy
10	jpg,gz,gif,dwf,pptx,pdf,rtf,java,ppt,sql	0.571
11	pps,pdf,gif,java,eps,log,jpg,txt,png,swf,doc	0.5986364
12	pdf,pps,f,jpg,dbase3,ps,eps,xml,csv,xls,rtf,swf	0.6879167
13	pptx,f,java,jpg,swf,xls,log,hlp,xml,gz,pdf,kml,csv	0.6826923
14	gif,log,pptx,gz,xls,png,doc,pdf,eps,sql,ppt,kmz,xml,dwf	0.5353571
15	dbase3,pps,txt,ps,kml,f,java,html,hlp,dwf,ppt,log,png,jpg,swf	0.5976667
16	ppt,eps,rtf,log,gif,xls,gz,kml,hlp,sql,kmz,dbase3,png,wp,txt,pps	0.65125
17	gif,ppt,sql,doc,java,dbase3,png,ps,f,html,gz,csv,pptx,eps,xls,hlp,wp	0.6661765
18	txt,xml,gz,pdf,xls,ps,dwf,pps,log,ppt,csv,rtf,sql,html,eps,hlp,java,png	0.62916666
19	kmz,xml,rtf,hlp,ps,swf,png,ppt,pdf,eps,dwf,sql,doc,csv,gif,pps,xls,f,kml	0.5715789
20	pdf,hlp,eps,swf,csv,log,txt,gz,sql,dbase3,rtf,html,xls,java,ps,jpg,f,gif,pptx,wp	0.66675
21	csv,dbase3,pptx,gz,xls,log,xml,f,kml,txt,wp,pdf,html,ps,jpg,gif,java,rtf,png,eps,sql	0.62833333
22	sql,kml,csv,log,dwf,wp,dbase3,rtf,txt,html,jpg,xml,java,gif,xls,f,pps,ps,swf,eps,hlp,png	0.6422727
23	html,csv,gz,kmz,pptx,java,sql,jpg,wp,gif,doc,ppt,xml,hlp,pdf,ps,pps,xls,dwf,eps,png,txt,swf	0.5123913
24	sql,png,swf,hlp,f,gif,ppt,kml,ps,dbase3,wp,pps,html,doc,xml,gz,pptx,txt,java,kmz,xls,pdf,eps,jpg	0.53041667
25	java,sql,ps,eps,dwf,rtf,html,f,csv,log,pdf,xls,hlp,pps,png,wp,txt,doc,pptx,swf,ppt,kml,xml,jpg,gif	0.5474
26	txt,pps,pptx,gif,pdf,dwf,hlp,java,html,dbase3,wp,kmz,rtf,f,xml,png,ps,doc,gz,swf,sql,log,ppt,kml,eps,jpg	0.52153844
27	dbase3,gif,rtf,txt,pptx,jpg,png,eps,f,swf,ppt,java,doc,hlp,ps,kmz,xml,wp,csv,dwf,log,html,gz,pdf,pps,kml,sql	0.53481483
28	dbase3,xls,jpg,csv,pps,log,kmz,wp,sql,html,gz,txt,rtf,eps,dwf,hlp,pdf,gif,ppt,png,f,java,ps,kml,swf,xml,doc,pptx	0.52428573
2	kml,rtf	0.97
3	txt,jpg,hlp	0.8933333
4	png,pps,java,sql	0.75875
5	gif,java,swf,hlp,eps	0.866
6	dwf,jpg,pps,kml,sql,png	0.62083334
7	ppt,dbase3,pptx,doc,gif,xls,hlp	0.7107143
8	dbase3,png,dwf,xml,ps,kmz,txt,java	0.750625
9	doc,ppt,hlp,pps,pptx,eps,jpg,f,txt	0.5516667
10	gif,pptx,pdf,dbase3,hlp,txt,java,kml,png,eps	0.7125
11	doc,jpg,dwf,dbase3,pdf,kmz,java,pps,kml,ps,f	0.68227273
12	xml,gz,ppt,wp,html,f,pdf,pps,eps,pptx,sql,jpg	0.5395833
13	ps,eps,pps,pptx,xls,ppt,java,png,pdf,rtf,swf,f,doc	0.5446154
14	swf,jpg,wp,doc,f,pps,kmz,ps,dwf,pptx,gz,gif,html,xls	0.54071426
15	kmz,swf,wp,dbase3,java,eps,pptx,gif,csv,xls,dwf,doc,pdf,xml,ppt	0.619
16	java,eps,dwf,pptx,hlp,gz,dbase3,wp,jpg,pdf,ppt,txt,html,sql,doc,csv	0.645
